광역시코드,지역명,공급유형명,단지명,총세대수,전용면적,세대수,임대보증금,월임대료,최초입주년월
28,인천광역시 남동구,국민임대,인천장수 LH,795,46.22,498,18826000,232660,200507
28,인천광역시 남동구,국민임대,인천장수 LH,795,36.63,297,14850000,183430,200507
28,인천광역시 미추홀구,국민임대,인천 주안역 오피스텔,16,55.89,4,52050000,264410,201709
28,인천광역시 미추홀구,국민임대,인천 주안역 오피스텔,16,55.49,4,52050000,264410,201709
28,인천광역시 미추홀구,국민임대,인천 주안역 오피스텔,16,55.31,4,52050000,264410,201709
28,인천광역시 미추홀구,국민임대,인천 주안역 오피스텔,16,55.06,4,52050000,264410,201709
28,인천광역시 부평구,국민임대,인천부평1,297,49.93,84,45073000,258340,201207
28,인천광역시 부평구,국민임대,인천부평1,297,49.85,53,45073000,258340,201207
28,인천광역시 부평구,국민임대,인천부평1,297,39.94,160,28583000,168190,201207
28,인천광역시 부평구,국민임대,인천삼산3,870,51.97,84,37593000,289210,201006
28,인천광역시 부평구,국민임대,인천삼산3,870,46.9,446,29803000,238600,201006
28,인천광역시 부평구,국민임대,인천삼산3,870,39.57,340,22479000,185570,201006
28,인천광역시 부평구,국민임대,인천삼산4,1696,45.32,1258,17830000,217750,
28,인천광역시 부평구,국민임대,인천삼산4,1696,36.44,438,14258000,169730,
28,인천광역시 서구,국민임대,인천가정3 LH,1525,59.81,132,46084000,378370,201212
28,인천광역시 서구,국민임대,인천가정3 LH,1525,46.88,116,31106000,240780,201212
28,인천광역시 서구,국민임대,인천가정3 LH,1525,46.86,198,31106000,240780,201212
28,인천광역시 서구,국민임대,인천가정3 LH,1525,46.81,49,31106000,240780,201212
28,인천광역시 서구,국민임대,인천가정3 LH,1525,36.96,710,19585000,149050,201212
28,인천광역시 서구,국민임대,인천가정3 LH,1525,36.88,76,19585000,149050,201212
28,인천광역시 서구,국민임대,인천가정3 LH,1525,29.98,244,16129000,120380,201212
28,인천광역시 서구,국민임대,인천검단 AA-5블록 국민·영구임대주택,750,46.66,50,41041000,276500,202211
28,인천광역시 서구,국민임대,인천검단 AA-5블록 국민·영구임대주택,750,46.09,198,41041000,276500,202211
28,인천광역시 서구,국민임대,인천검단 AA-5블록 국민·영구임대주택,750,37.78,248,26446000,212300,202211
