광역시코드,총세대수,전용면적,세대수,임대보증금,월임대료
41,1331,46.64,36,37122000,302680
41,1331,46.42,257,37122000,302680
41,1331,36.73,150,20217000,215870
41,1331,36.64,262,20217000,215870
41,1331,26.88,84,14848000,158760
41,1331,26.47,48,14848000,158760
41,679,51.25,125,44546000,365510
41,679,46.42,274,36551000,302680
41,679,36.64,280,20559000,199880
41,787,46.16,304,46152000,302140
41,787,37.7,331,30147000,235100
41,787,26.4,152,15431000,164000
41,752,51.85,176,47001000,338840
41,752,46.42,138,37163000,295120
41,752,36.64,438,19784000,224070
41,1144,59.4,128,55540000,419640
41,1144,51.98,122,44176000,368040
41,1144,46.94,64,36242000,301540
41,1144,46.7,140,36242000,301540
41,1144,46.42,72,36242000,301540
41,1144,36.73,210,21085000,201790
41,1144,36.64,168,21085000,201790
41,1144,26.88,132,15340000,150190
41,1144,26.47,108,15340000,150190
41,886,51.5,120,44772000,338520
41,886,46.7,382,36036000,283920
41,886,46.42,68,36036000,283920
41,886,36.73,282,19656000,202010
41,886,26.97,34,14196000,152880
41,574,51.25,114,47283000,329770
41,574,46.42,240,36036000,300290
41,574,36.64,220,19109000,218400
41,772,51.88,120,48312000,338840
41,772,46.79,320,39349000,312610
41,772,36.94,40,19893000,240470
41,772,36.65,180,19893000,240470
41,772,26.98,112,14756000,169420
41,483,51.57,48,48312000,338840
41,483,46.42,173,39349000,312610
41,483,36.64,262,19893000,240470
41,822,59.88,284,31583000,263600
41,822,51.93,102,28214000,194210
41,822,51.77,436,28214000,192910
41,1129,59.88,240,34562000,289880
41,1129,51.93,443,26385000,220490
41,1129,46.9,446,21555000,179620
41,1479,51.93,420,26385000,220490
41,1479,46.9,793,21555000,179620
41,1479,39.72,266,15111000,126340
41,1138,51.93,382,26385000,220490
41,1138,46.9,623,21555000,179620
41,1138,39.48,133,15111000,126340
41,330,59.88,150,35455000,297220
41,330,59.83,30,35455000,296720
41,330,51.86,150,28838000,241080
41,386,59.88,296,34059000,285520
41,386,51.86,90,27703000,231590
41,600,51.6,104,27431000,269920
41,600,46.9,281,24139000,216150
41,600,36.75,215,17556000,159090
41,456,59.57,216,23097000,297330
41,456,46.81,120,17803000,201500
41,456,39.48,120,14958000,141870
41,496,59.56,198,25257000,254470
41,496,51.86,298,21469000,226170
41,755,59.88,212,36432000,301010
41,755,51.93,303,29235000,242780
41,755,39.72,240,19138000,158540
41,525,59.89,102,26510000,204850
41,525,46.9,296,18075000,132540
41,525,36.65,127,12653000,84340
41,1018,59.57,401,19437000,140970
41,1018,51.86,260,16921000,122630
41,1018,46.81,180,15073000,95200
41,1018,39.48,177,12628000,81090
41,636,59.64,302,22883000,323060
41,636,51.95,212,19930000,274990
41,636,51.49,122,19756000,272100
41,1722,51.95,75,49854000,338380
